trt,analyte,val,sd,facet,type
Control,Mn,1.7115896047416117,1.067211725982356,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
Control,Fe,99.30110861622008,7.213577568948817,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
Control,Co,0.3793786030538554,0.26950568775301315,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
Control,Ni,9.872125272101623,1.6574900931394076,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
Control,Cu,23.492039705849212,1.6129741123345613,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
Control,Zn,93.12238634523062,11.030339007857934,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
Control,Cd,0.13532206266618024,0.10146255134191977,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
Control,Pb,0.4116850852911861,0.0379694430654291,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
Thomas Fire Ash,Mn,131.90720935646567,3.110063861701409,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
Thomas Fire Ash,Fe,100.43473585459897,4.6506996866751775,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
Thomas Fire Ash,Co,10.669939954525635,0.35379670116773104,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
Thomas Fire Ash,Ni,151.33395025825456,2.1827529806431754,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
Thomas Fire Ash,Cu,288.1933771262634,10.582575983431763,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
Thomas Fire Ash,Zn,16.537292975305398,1.3548992935640942,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
Thomas Fire Ash,Cd,0.17198088471280182,0.07665556160446886,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
Thomas Fire Ash,Pb,0.14974845168362738,0.029483574604804226,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
Low Temp. Ash,Mn,51.870258100754164,2.9962958828120057,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
Low Temp. Ash,Fe,116.4692712861876,11.525425164064343,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
Low Temp. Ash,Co,0.5843718348866825,0.15222795514841228,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
Low Temp. Ash,Ni,13.829646470218668,1.8742252620070714,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
Low Temp. Ash,Cu,20.412725971556974,1.9774697921111843,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
Low Temp. Ash,Zn,1.034143071919747,2.4178714095805365,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
Low Temp. Ash,Cd,0.1586403066602801,0.14073812057835874,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
Low Temp. Ash,Pb,1.9365582800662116,0.01329559081496856,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
High Temp. Ash,Mn,95.81616411336684,8.774373565040223,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
High Temp. Ash,Fe,172.22777133064258,14.179866142017211,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
High Temp. Ash,Co,0.3925963440338533,0.08075065325776418,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
High Temp. Ash,Ni,8.35210215739261,0.9351103620754823,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
High Temp. Ash,Cu,25.28188194474421,1.8306727817543316,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
High Temp. Ash,Zn,19.30452027014441,5.552689175472653,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
High Temp. Ash,Cd,0.0728818999755079,0.03176366333973419,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
High Temp. Ash,Pb,2.19082053491592,0.03439292236357737,bold(Trace~metals~(nmol~L^-1)),bold(Leachate)
Control,PO[4],0.62,NA,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Leachate)
Control,SiO[4],2.87,NA,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Leachate)
Control,NO[2],0.05,NA,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Leachate)
Control,NO[2]+NO[3],3.7,NA,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Leachate)
Control,NH[4],0.1,NA,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Leachate)
Thomas Fire Ash,PO[4],31.61,NA,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Leachate)
Thomas Fire Ash,SiO[4],151.39,NA,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Leachate)
Thomas Fire Ash,NO[2],9.59,NA,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Leachate)
Thomas Fire Ash,NO[2]+NO[3],201.69,NA,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Leachate)
Thomas Fire Ash,NH[4],13.01,NA,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Leachate)
Low Temp. Ash,PO[4],2.41,NA,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Leachate)
Low Temp. Ash,SiO[4],21.72,NA,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Leachate)
Low Temp. Ash,NO[2],1.02,NA,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Leachate)
Low Temp. Ash,NO[2]+NO[3],20.05,NA,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Leachate)
Low Temp. Ash,NH[4],0.4,NA,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Leachate)
High Temp. Ash,PO[4],3.48,NA,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Leachate)
High Temp. Ash,SiO[4],22.13,NA,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Leachate)
High Temp. Ash,NO[2],1.17,NA,bold(Inorganic~nutrients~(µmol~L^-1)),bold(Leachate)
