work_list,sample_number,exp,btl,tp,dil,total_volume_ul,acquisition_time_s,name,Population,Parent,Count,ParentCount,cells_ml
B15,1,B15,1.2T,0,1,19.6348224,33.27936,B15-1.fcs,/Cells,root,5863,10000,298602
B15,2,B15,1.2T,0,4,123.700726568421,209.662248421053,B15-2.fcs,/Cells,root,2,93,64
B15,3,B15,1,0,1,51.1311339789474,86.6629389473684,B15-3.fcs,/Cells,root,4392,10000,85897
B15,4,B15,2,0,1,39.3774694736842,66.7414736842105,B15-4.fcs,/Cells,root,3907,10000,99219
B15,5,B15,1,1,1,31.6299720421053,53.6101221052632,B15-5.fcs,/Cells,root,5234,10000,165476
B15,6,B15,V1,1,1,32.5949487157895,55.2456757894737,B15-6.fcs,/Cells,root,5246,10000,160945
B15,7,B15,2,1,1,28.9132195368421,49.0054568421053,B15-7.fcs,/Cells,root,5712,10000,197557
B15,8,B15,V2,1,1,29.8752151578947,50.6359578947368,B15-8.fcs,/Cells,root,5614,10000,187915
B15,9,B15,1,2,1,17.6896458105263,29.9824505263158,B15-9.fcs,/Cells,root,7405,10000,418606
B15,10,B15,V1,2,1,17.7206984421053,30.0350821052632,B15-10.fcs,/Cells,root,7305,10000,412230
B15,11,B15,2,2,1,16.9902809263158,28.7970863157895,B15-11.fcs,/Cells,root,7083,10000,416885
B15,12,B15,V2,2,1,17.8868424421053,30.3166821052632,B15-12.fcs,/Cells,root,7444,10000,416172
B15,13,B15,1,3,1,12.9938420210526,22.0234610526316,B15-13.fcs,/Cells,root,7738,10000,595513
B15,14,B15,V1,3,1,12.9832195368421,22.0054568421053,B15-14.fcs,/Cells,root,7467,10000,575127
B15,15,B15,2,3,1,10.6598467368421,18.0675368421053,B15-15.fcs,/Cells,root,7832,10000,734720
B15,16,B15,V2,3,1,10.9020473263158,18.4780463157895,B15-16.fcs,/Cells,root,7745,10000,710417
B15,17,B15,1,4,1,11.1848001684211,18.9572884210526,B15-17.fcs,/Cells,root,7829,10000,699968
B15,18,B15,V1,4,1,11.9897539368421,20.3216168421053,B15-18.fcs,/Cells,root,7653,10000,638295
B15,19,B15,2,4,1,9.83810964210526,16.6747621052632,B15-19.fcs,/Cells,root,8048,10000,818043
B15,20,B15,V2,4,1,10.1801754947368,17.2545347368421,B15-20.fcs,/Cells,root,8113,10000,796941
B15,21,B15,1,5,1,10.0619767578947,17.0541978947368,B15-21.fcs,/Cells,root,6467,10000,642717
B15,22,B15,V1,5,1,12.0746245052632,20.4654652631579,B15-22.fcs,/Cells,root,7575,10000,627349
B15,23,B15,2,5,1,9.12782416842105,15.4708884210526,B15-23.fcs,/Cells,root,7665,10000,839740
B15,24,B15,V2,5,1,10.0884485052632,17.0990652631579,B15-24.fcs,/Cells,root,8013,10000,794275
