work_list,sample_number,exp,btl,tp,dil,total_volume_ul,acquisition_time_s,name,Population,Parent,Count,ParentCount,cells_ml
Filtrates,1,TE,NA,NA,1,17.5550910315789,29.7543915789474,Filtrates-1.fcs,/Cells,root,4,72,228
Filtrates,2,TE+SYBR,NA,NA,1,17.4381741473684,29.556227368421,Filtrates-2.fcs,/Cells,root,22,304,1262
Filtrates,3,B1,1.2GF75,0,1,17.4348154947368,29.5505347368421,Filtrates-3.fcs,/Cells,root,1604,4791,92000
Filtrates,4,B1,1.2DNA,0,1,17.4324505263158,29.5465263157895,Filtrates-4.fcs,/Cells,root,694,5290,39811
Filtrates,5,B1,1GF75,2,1,17.4357296842105,29.5520842105263,Filtrates-5.fcs,/Cells,root,1599,3466,91708
Filtrates,6,B1,1DNA,2,1,17.5537296842105,29.7520842105263,Filtrates-6.fcs,/Cells,root,302,1530,17204
Filtrates,7,B1,2GF75,2,1,17.4348055578947,29.5505178947368,Filtrates-7.fcs,/Cells,root,1451,3308,83224
Filtrates,8,B1,2DNA,2,1,17.4326691368421,29.5468968421053,Filtrates-8.fcs,/Cells,root,758,4711,43482
Filtrates,9,B1,1GF75,5,1,17.5473204210526,29.7412210526316,Filtrates-9.fcs,/Cells,root,2884,8064,164356
Filtrates,10,B1,1DNA,5,1,17.5479464421053,29.7422821052632,Filtrates-10.fcs,/Cells,root,749,6651,42683
Filtrates,11,B1,2GF75,5,1,17.4315164631579,29.5449431578947,Filtrates-11.fcs,/Cells,root,3381,8624,193959
Filtrates,12,B1,2DNA,5,1,17.432848,29.5472,Filtrates-12.fcs,/Cells,root,585,4713,33557
Filtrates,13,B2,1.2GF75,0,1,17.4299961263158,29.5423663157895,Filtrates-13.fcs,/Cells,root,2012,6726,115433
Filtrates,14,B2,1.2DNA,0,1,17.4307016421053,29.5435621052632,Filtrates-14.fcs,/Cells,root,2903,9798,166545
Filtrates,15,B2,1GF75,2,1,17.4308805052632,29.5438652631579,Filtrates-15.fcs,/Cells,root,3277,8474,188000
Filtrates,16,B2,1DNA,2,1,17.5478470736842,29.7421136842105,Filtrates-16.fcs,/Cells,root,779,5741,44393
Filtrates,17,B2,2GF75,2,1,17.4327585684211,29.5470484210526,Filtrates-17.fcs,/Cells,root,2847,7119,163313
Filtrates,18,B2,2DNA,2,1,17.4313475368421,29.5446568421053,Filtrates-18.fcs,/Cells,root,849,6125,48705
Filtrates,19,B2,1GF75,5,1,4.95158804210526,8.39252210526316,Filtrates-19.fcs,/Cells,root,6141,10000,1240208
Filtrates,20,B2,1DNA,5,1,17.5472608,29.74112,Filtrates-20.fcs,/Cells,root,953,6863,54310
Filtrates,21,B2,2GF75,5,1,5.03846585263158,8.53977263157895,Filtrates-21.fcs,/Cells,root,6289,10000,1248197
Filtrates,22,B2,2DNA,5,1,17.5458895157895,29.7387957894737,Filtrates-22.fcs,/Cells,root,1199,7611,68335
Filtrates,23,B3,1.2GF75,0,1,17.4310991157895,29.5442357894737,Filtrates-23.fcs,/Cells,root,2493,8311,143020
Filtrates,24,B3,1.2DNA,0,1,17.5502716631579,29.7462231578947,Filtrates-24.fcs,/Cells,root,764,4801,43532
Filtrates,25,B3,1GF75,2,1,17.4312282947368,29.5444547368421,Filtrates-25.fcs,/Cells,root,5297,9833,303880
Filtrates,26,B3,1DNA,2,1,17.5496158315789,29.7451115789474,Filtrates-26.fcs,/Cells,root,485,4344,27636
Filtrates,27,B3,2GF75,2,1,17.4307413894737,29.5436294736842,Filtrates-27.fcs,/Cells,root,3013,8755,172856
