work_list,sample_number,exp,btl,tp,dil,total_volume_ul,acquisition_time_s,name,Population,Parent,Count,ParentCount,cells_ml
Filtrates_r2,1,TE,NA,NA,1,17.4390485894737,29.5577094736842,Filtrates_r2-1.fcs,/Cells,root,21,43,1204
Filtrates_r2,2,TE+SYBR,NA,NA,1,17.5550214736842,29.7542736842105,Filtrates_r2-2.fcs,/Cells,root,30,163,1709
Filtrates_r2,3,B1,1.2GF75,0,1,17.5483339789474,29.7429389473684,Filtrates_r2-3.fcs,/Cells,root,2147,7229,122348
Filtrates_r2,4,B1,1.2DNA,0,1,17.4339211789474,29.5490189473684,Filtrates_r2-4.fcs,/Cells,root,706,4221,40496
Filtrates_r2,5,B1,1GF75,2,1,17.4346565052632,29.5502652631579,Filtrates_r2-5.fcs,/Cells,root,1900,4433,108978
Filtrates_r2,6,B1,1DNA,2,1,17.4339311157895,29.5490357894737,Filtrates_r2-6.fcs,/Cells,root,703,3697,40324
Filtrates_r2,7,B1,2GF75,2,1,17.4342292210526,29.5495410526316,Filtrates_r2-7.fcs,/Cells,root,1957,4223,112250
Filtrates_r2,8,B1,2DNA,2,1,17.5514044631579,29.7481431578947,Filtrates_r2-8.fcs,/Cells,root,712,3351,40567
Filtrates_r2,9,B1,1GF75,5,1,17.4316754526316,29.5452126315789,Filtrates_r2-9.fcs,/Cells,root,3102,7157,177952
Filtrates_r2,10,B1,1DNA,5,1,17.5513647157895,29.7480757894737,Filtrates_r2-10.fcs,/Cells,root,751,3569,42789
Filtrates_r2,11,B1,2GF75,5,1,17.5482147368421,29.742736842105302,Filtrates_r2-11.fcs,/Cells,root,3339,6606,190276
Filtrates_r2,12,B1,2DNA,5,1,17.434616757894698,29.5501978947368,Filtrates_r2-12.fcs,/Cells,root,680,3584,39003
Filtrates_r2,13,B2,1.2GF75,0,1,17.4338118736842,29.5488336842105,Filtrates_r2-13.fcs,/Cells,root,1858,4984,106575
Filtrates_r2,14,B2,1.2DNA,0,1,17.4327983157895,29.5471157894737,Filtrates_r2-14.fcs,/Cells,root,3068,7920,175990
Filtrates_r2,15,B2,1GF75,2,1,17.5486221473684,29.743427368421,Filtrates_r2-15.fcs,/Cells,root,3372,6706,192152
Filtrates_r2,16,B2,1DNA,2,1,17.4338615578947,29.5489178947368,Filtrates_r2-16.fcs,/Cells,root,721,3807,41356
Filtrates_r2,17,B2,2GF75,2,1,17.4334442105263,29.5482105263158,Filtrates_r2-17.fcs,/Cells,root,2742,6318,157284
Filtrates_r2,18,B2,2DNA,2,1,17.4345770105263,29.5501305263158,Filtrates_r2-18.fcs,/Cells,root,801,3634,45943
Filtrates_r2,19,B2,1GF75,5,1,4.93937566315789,8.37182315789474,Filtrates_r2-19.fcs,/Cells,root,5992,10000,1213109
Filtrates_r2,20,B2,1DNA,5,1,17.4330368,29.54752,Filtrates_r2-20.fcs,/Cells,root,1007,4734,57764
Filtrates_r2,21,B2,2GF75,5,1,5.10076985263158,8.64537263157895,Filtrates_r2-21.fcs,/Cells,root,6383,10000,1251380
Filtrates_r2,22,B2,2DNA,5,1,17.5484631578947,29.7431578947368,Filtrates_r2-22.fcs,/Cells,root,1365,6191,77785
Filtrates_r2,23,B3,1.2DNA,0,1,17.5505200842105,29.7466442105263,Filtrates_r2-23.fcs,/Cells,root,792,4726,45127
Filtrates_r2,24,B3,1GF75,2,1,17.4335733894737,29.5484294736842,Filtrates_r2-24.fcs,/Cells,root,4942,8241,283476
Filtrates_r2,25,B3,1DNA,2,1,17.4347260631579,29.5503831578947,Filtrates_r2-25.fcs,/Cells,root,459,3262,26327
Filtrates_r2,26,B3,2GF75,2,1,17.5507088842105,29.7469642105263,Filtrates_r2-26.fcs,/Cells,root,3093,6227,176232
Filtrates_r2,27,B3,2DNA,2,1,17.5506393263158,29.7468463157895,Filtrates_r2-27.fcs,/Cells,root,397,3267,22620
Filtrates_r2,28,B3,3GF75,2,1,17.4329473684211,29.5473684210526,Filtrates_r2-28.fcs,/Cells,root,4811,7891,275972
Filtrates_r2,29,B3,3DNA,2,1,17.5516528842105,29.7485642105263,Filtrates_r2-29.fcs,/Cells,root,450,2936,25639
Filtrates_r2,30,B3,4GF75,2,1,17.5493376,29.74464,Filtrates_r2-30.fcs,/Cells,root,4756,7986,271007
