work_list,sample_number,exp,btl,tp,dil,total_volume_ul,acquisition_time_s,name,Population,Parent,Count,ParentCount,cells_ml
B1_r2,1,B1,1.2T,0,1,11.9966103578947,20.3332378947368,B1_r2-1.fcs,/Cells,root,6372,10000,531150
B1_r2,2,B1,1,0,1,23.5229000421053,39.8693221052632,B1_r2-2.fcs,/Cells,root,5061,10000,215152
B1_r2,3,B1,2,0,1,26.6574470736842,45.1821136842105,B1_r2-3.fcs,/Cells,root,4665,10000,174998
B1_r2,4,B1,1,1,1,18.664300968421,31.6344084210526,B1_r2-4.fcs,/Cells,root,5336,10000,285893
B1_r2,5,B1,V1,1,1,18.4819797894737,31.3253894736842,B1_r2-5.fcs,/Cells,root,4838,10000,261768
B1_r2,6,B1,2,1,1,19.9241733052632,33.7697852631579,B1_r2-6.fcs,/Cells,root,5475,10000,274792
B1_r2,7,B1,V2,1,1,18.7014349473684,31.697347368421,B1_r2-7.fcs,/Cells,root,5033,10000,269124
B1_r2,8,B1,1,2,1,17.0425884631579,28.8857431578947,B1_r2-8.fcs,/Cells,root,6270,10000,367902
B1_r2,9,B1,V1,2,1,16.1866090105263,27.4349305263158,B1_r2-9.fcs,/Cells,root,6139,10000,379264
B1_r2,10,B1,2,2,1,15.2099267368421,25.7795368421053,B1_r2-10.fcs,/Cells,root,6694,10000,440107
B1_r2,11,B1,V2,2,1,15.5323375157895,26.3259957894737,B1_r2-11.fcs,/Cells,root,6378,10000,410627
B1_r2,12,B1,1,3,1,11.5958376421053,19.6539621052632,B1_r2-12.fcs,/Cells,root,6991,10000,602889
B1_r2,13,B1,V1,3,1,11.9280163368421,20.2169768421053,B1_r2-13.fcs,/Cells,root,6964,10000,583836
B1_r2,14,B1,2,3,1,9.71875823157895,16.4724715789474,B1_r2-14.fcs,/Cells,root,6786,10000,698237
B1_r2,15,B1,V2,3,1,10.5802327578947,17.9325978947368,B1_r2-15.fcs,/Cells,root,6978,10000,659532
B1_r2,16,B1,1,4,1,11.7482588631579,19.9123031578947,B1_r2-16.fcs,/Cells,root,6881,10000,585704
B1_r2,17,B1,V1,4,1,12.2897770105263,20.8301305263158,B1_r2-17.fcs,/Cells,root,7105,10000,578123
B1_r2,18,B1,2,4,1,9.14106004210526,15.4933221052632,B1_r2-18.fcs,/Cells,root,7232,10000,791156
B1_r2,19,B1,2,4,4,29.5812336842105,50.1376842105263,B1_r2-19.fcs,/Cells,root,7503,10000,1014564
B1_r2,20,B1,V2,4,1,9.9661955368421,16.8918568421053,B1_r2-20.fcs,/Cells,root,7332,10000,735687
B1_r2,21,B1,V2,4,4,33.6111299368421,56.9680168421053,B1_r2-21.fcs,/Cells,root,7680,10000,913984
B1_r2,22,B1,1,5,1,10.1219853473684,17.1559073684211,B1_r2-22.fcs,/Cells,root,7185,10000,709841
B1_r2,23,B1,V1,5,1,11.2438647578947,19.0573978947368,B1_r2-23.fcs,/Cells,root,6862,10000,610288
B1_r2,24,B1,2,5,1,9.86776117894737,16.7250189473684,B1_r2-24.fcs,/Cells,root,7214,10000,731068
B1_r2,25,B1,2,5,4,33.0499368421053,56.0168421052632,B1_r2-25.fcs,/Cells,root,7307,10000,884360
B1_r2,26,B1,V2,5,1,11.1952437894737,18.9749894736842,B1_r2-26.fcs,/Cells,root,6947,10000,620531
B1_r2,27,B1,V2,5,4,38.9817744842105,66.0708042105263,B1_r2-27.fcs,/Cells,root,7133,10000,731932
