work_list,sample_number,exp,btl,tp,dil,total_volume_ul,acquisition_time_s,name,Population,Parent,Count,ParentCount,cells_ml
B3_14,1,B3,1.2T,0,1,18.6102743578947,31.5428378947368,B3_14-1.fcs,/Cells,root,3050,10000,163888
B3_14,2,B3,1,0,1,17.0821271578947,28.9527578947368,B3_14-2.fcs,/Cells,root,3166,10000,185340
B3_14,3,B3,2,0,1,18.0278661052632,30.5557052631579,B3_14-3.fcs,/Cells,root,3590,10000,199136
B3_14,4,B3,3,0,1,19.0733411368421,32.3276968421053,B3_14-4.fcs,/Cells,root,3872,10000,203006
B3_14,5,B3,4,0,1,20.5721845894737,34.8681094736842,B3_14-5.fcs,/Cells,root,4207,10000,204499
B3_14,6,B3,1,1,1,11.2159720421053,19.0101221052632,B3_14-6.fcs,/Cells,root,6628,10000,590943
B3_14,7,B3,V1,1,1,11.0949909894737,18.8050694736842,B3_14-7.fcs,/Cells,root,6806,10000,613430
B3_14,8,B3,2,1,1,10.0146873263158,16.9740463157895,B3_14-8.fcs,/Cells,root,6511,10000,650145
B3_14,9,B3,V2,1,1,10.6955796210526,18.1281010526316,B3_14-9.fcs,/Cells,root,7316,10000,684021
B3_14,10,B3,3,1,1,11.0823910736842,18.7837136842105,B3_14-10.fcs,/Cells,root,6850,10000,618098
B3_14,11,B3,V3,1,1,11.3059004631579,19.1625431578947,B3_14-11.fcs,/Cells,root,6781,10000,599775
B3_14,12,B3,4,1,1,12.5490490947368,21.2695747368421,B3_14-12.fcs,/Cells,root,6985,10000,556616
B3_14,13,B3,V4,1,1,11.0240220631579,18.6847831578947,B3_14-13.fcs,/Cells,root,6723,10000,609850
B3_14,14,B3,1,2,1,8.83200437894737,14.9694989473684,B3_14-14.fcs,/Cells,root,7557,10000,855638
B3_14,15,B3,V1,2,1,9.44375612631579,16.0063663157895,B3_14-15.fcs,/Cells,root,7397,10000,783269
B3_14,16,B3,2,2,1,8.08365086315789,13.7011031578947,B3_14-16.fcs,/Cells,root,8223,10000,1017238
B3_14,17,B3,V2,2,1,8.30642492631579,14.0786863157895,B3_14-17.fcs,/Cells,root,7997,10000,962749
B3_14,18,B3,3,2,1,8.4757984,14.36576,B3_14-18.fcs,/Cells,root,8131,10000,959320
B3_14,19,B3,V3,2,1,8.351568,14.1552,B3_14-19.fcs,/Cells,root,7837,10000,938387
B3_14,20,B3,4,2,1,8.38305785263158,14.2085726315789,B3_14-20.fcs,/Cells,root,7937,10000,946791
B3_14,21,B3,V4,2,1,8.92358231578947,15.1247157894737,B3_14-21.fcs,/Cells,root,7819,10000,876218
B3_14,22,B3,1,3,1,8.53373018947368,14.4639494736842,B3_14-22.fcs,/Cells,root,7636,10000,894802
B3_14,23,B3,V1,3,1,9.39726164210526,15.9275621052632,B3_14-23.fcs,/Cells,root,7677,10000,816940
B3_14,24,B3,2,3,1,7.53136117894737,12.7650189473684,B3_14-24.fcs,/Cells,root,8260,10000,1096747
B3_14,25,B3,V2,3,1,7.56304976842105,12.8187284210526,B3_14-25.fcs,/Cells,root,8309,10000,1098631
B3_14,26,B3,3,3,1,8.01033684210526,13.5768421052632,B3_14-26.fcs,/Cells,root,7764,10000,969248
B3_14,27,B3,V3,3,1,8.59346054736842,14.5651873684211,B3_14-27.fcs,/Cells,root,7738,10000,900452
B3_14,28,B3,4,3,1,8.30174467368421,14.0707536842105,B3_14-28.fcs,/Cells,root,8017,10000,965701
B3_14,29,B3,V4,3,1,8.5549056,14.49984,B3_14-29.fcs,/Cells,root,7858,10000,918537
B3_14,30,B3,1,4,1,8.17746458947368,13.8601094736842,B3_14-30.fcs,/Cells,root,7918,10000,968271
B3_14,31,B3,V1,4,1,9.77202964210526,16.5627621052632,B3_14-31.fcs,/Cells,root,7397,10000,756956
B3_14,32,B3,2,4,1,8.59428530526316,14.5665852631579,B3_14-32.fcs,/Cells,root,7652,10000,890359
B3_14,33,B3,V2,4,1,8.74722324210526,14.8258021052632,B3_14-33.fcs,/Cells,root,7817,10000,893655
B3_14,34,B3,3,4,1,8.9113699368421,15.1040168421053,B3_14-34.fcs,/Cells,root,7812,10000,876633
B3_14,35,B3,V3,4,1,9.12418728421052,15.4647242105263,B3_14-35.fcs,/Cells,root,7935,10000,869666
B3_14,36,B3,4,4,1,8.79432387368421,14.9056336842105,B3_14-36.fcs,/Cells,root,7758,10000,882160
B3_14,37,B3,V4,4,1,8.85953936842105,15.0161684210526,B3_14-37.fcs,/Cells,root,7769,10000,876908
B3_14,38,B3,1,5,1,8.68676749473684,14.7233347368421,B3_14-38.fcs,/Cells,root,7259,10000,835639
B3_14,39,B3,V1,5,1,9.28385246315789,15.7353431578947,B3_14-39.fcs,/Cells,root,7372,10000,794067
B3_14,40,B3,2,5,1,10.3367900631579,17.5199831578947,B3_14-40.fcs,/Cells,root,5783,10000,559458
B3_14,41,B3,V2,5,1,11.201504,18.9856,B3_14-41.fcs,/Cells,root,5658,10000,505111
B3_14,42,B3,3,5,1,10.9188505263158,18.5065263157895,B3_14-42.fcs,/Cells,root,6041,10000,553263
B3_14,43,B3,V3,5,1,10.4017869473684,17.630147368421,B3_14-43.fcs,/Cells,root,6512,10000,626046
B3_14,44,B3,4,5,1,12.4474647578947,21.0973978947368,B3_14-44.fcs,/Cells,root,6416,10000,515446
B3_14,45,B3,V4,5,1,13.1362071578947,22.2647578947368,B3_14-45.fcs,/Cells,root,6268,10000,477154
B3_14,46,B14,1.2T,0,1,11.0390167578947,18.7101978947368,B3_14-46.fcs,/Cells,root,6538,10000,592263
B3_14,47,B14,1,0,1,22.7452427789474,38.5512589473684,B3_14-47.fcs,/Cells,root,4830,10000,212352
B3_14,48,B14,2,0,1,23.9379122526316,40.5727326315789,B3_14-48.fcs,/Cells,root,5048,10000,210879
B3_14,49,B14,3,0,1,21.5062378105263,36.4512505263158,B3_14-49.fcs,/Cells,root,4652,10000,216309
B3_14,50,B14,4,0,1,24.3670546526316,41.3000926315789,B3_14-50.fcs,/Cells,root,5116,10000,209956
B3_14,51,B14,1,1,1,16.9949413052632,28.8049852631579,B3_14-51.fcs,/Cells,root,6579,10000,387115
B3_14,52,B14,V1,1,1,18.0475311157895,30.5890357894737,B3_14-52.fcs,/Cells,root,6965,10000,385925
B3_14,53,B14,2,1,1,16.747036968421,28.3848084210526,B3_14-53.fcs,/Cells,root,6644,10000,396727
B3_14,54,B14,V2,1,1,18.1855637894737,30.8229894736842,B3_14-54.fcs,/Cells,root,6664,10000,366445
B3_14,55,B14,3,1,1,18.0573288421053,30.6056421052632,B3_14-55.fcs,/Cells,root,6706,10000,371373
B3_14,56,B14,V3,1,1,19.1066891789474,32.3842189473684,B3_14-56.fcs,/Cells,root,6673,10000,349249
B3_14,57,B14,4,1,1,17.9976879157895,30.5045557894737,B3_14-57.fcs,/Cells,root,6768,10000,376048
B3_14,58,B14,V4,1,1,18.9611243789474,32.1374989473684,B3_14-58.fcs,/Cells,root,6864,10000,362004
B3_14,59,B14,1,2,1,11.8884975157895,20.1499957894737,B3_14-59.fcs,/Cells,root,7337,10000,617151
B3_14,60,B14,V1,2,1,12.3136751157895,20.8706357894737,B3_14-60.fcs,/Cells,root,7535,10000,611921
B3_14,61,B14,2,2,1,10.2857544421053,17.4334821052632,B3_14-61.fcs,/Cells,root,7780,10000,756386
B3_14,62,B14,V2,2,1,11.2676535578947,19.0977178947368,B3_14-62.fcs,/Cells,root,7313,10000,649026
B3_14,63,B14,3,2,1,10.9198541473684,18.508227368421,B3_14-63.fcs,/Cells,root,7851,10000,718966
B3_14,64,B14,V3,2,1,11.5280186947368,19.5390147368421,B3_14-64.fcs,/Cells,root,7561,10000,655880
B3_14,65,B14,4,2,1,11.4148082526316,19.3471326315789,B3_14-65.fcs,/Cells,root,7889,10000,691120
B3_14,66,B14,V4,2,1,12.1738637473684,20.6336673684211,B3_14-66.fcs,/Cells,root,7560,10000,621003
B3_14,67,B14,1,3,1,11.7458640842105,19.9082442105263,B3_14-67.fcs,/Cells,root,7704,10000,655890
B3_14,68,B14,V1,3,1,12.6766977684211,21.4859284210526,B3_14-68.fcs,/Cells,root,7877,10000,621376
B3_14,69,B14,2,3,1,9.87916867368421,16.7443536842105,B3_14-69.fcs,/Cells,root,7854,10000,795006
B3_14,70,B14,V2,3,1,11.3990484210526,19.3204210526316,B3_14-70.fcs,/Cells,root,8194,10000,718832
