work_list,sample_number,exp,btl,tp,dil,total_volume_ul,acquisition_time_s,name,Population,Parent,Count,ParentCount,cells_ml
B3_14_r2,1,TE,NA,NA,1,123.701422147368,209.663427368421,B3_14_r2-1.fcs,/Cells,root,171,298,1382
B3_14_r2,2,TE+SYBR,NA,NA,1,123.698500715789,209.658475789474,B3_14_r2-2.fcs,/Cells,root,378,1352,3056
B3_14_r2,3,B3,1.2T,0,1,11.8481340631579,20.0815831578947,B3_14_r2-3.fcs,/Cells,root,7090,10000,598406
B3_14_r2,4,B3,1,0,1,26.5734807578947,45.0397978947368,B3_14_r2-4.fcs,/Cells,root,5600,10000,210736
B3_14_r2,5,B3,2,0,1,21.9606496,37.22144,B3_14_r2-5.fcs,/Cells,root,5172,10000,235512
B3_14_r2,6,B3,3,0,1,21.4031530105263,36.2765305263158,B3_14_r2-6.fcs,/Cells,root,4830,10000,225668
B3_14_r2,7,B3,4,0,1,27.0259051789474,45.8066189473684,B3_14_r2-7.fcs,/Cells,root,5602,10000,207283
B3_14_r2,8,B3,1,1,1,19.4927454315789,33.0385515789474,B3_14_r2-8.fcs,/Cells,root,7114,10000,364956
B3_14_r2,9,B3,V1,1,1,20.9564025263158,35.5193263157895,B3_14_r2-9.fcs,/Cells,root,7434,10000,354736
B3_14_r2,10,B3,2,1,1,18.9981589894737,32.2002694736842,B3_14_r2-10.fcs,/Cells,root,7108,10000,374142
B3_14_r2,11,B3,V2,1,1,20.2241268210526,34.2781810526316,B3_14_r2-11.fcs,/Cells,root,7432,10000,367482
B3_14_r2,12,B3,3,1,1,19.7651540210526,33.5002610526316,B3_14_r2-12.fcs,/Cells,root,7036,10000,355980
B3_14_r2,13,B3,V3,1,1,13.9042058105263,23.5664505263158,B3_14_r2-13.fcs,/Cells,root,5116,10000,367946
B3_14_r2,14,B3,4,1,1,20.2722807578947,34.3597978947368,B3_14_r2-14.fcs,/Cells,root,7336,10000,361873
B3_14_r2,15,B3,V4,1,1,20.6898467368421,35.0675368421053,B3_14_r2-15.fcs,/Cells,root,7324,10000,353990
B3_14_r2,16,B3,1,2,1,13.2875253894737,22.5212294736842,B3_14_r2-16.fcs,/Cells,root,8035,10000,604703
B3_14_r2,17,B3,V1,2,1,13.9051696842105,23.5680842105263,B3_14_r2-17.fcs,/Cells,root,8148,10000,585969
B3_14_r2,18,B3,2,2,1,11.1070145684211,18.8254484210526,B3_14_r2-18.fcs,/Cells,root,8048,10000,724587
B3_14_r2,19,B3,V2,2,1,12.0044107789474,20.3464589473684,B3_14_r2-19.fcs,/Cells,root,7860,10000,654759
B3_14_r2,20,B3,3,2,1,11.9161914947368,20.1969347368421,B3_14_r2-20.fcs,/Cells,root,8018,10000,672866
B3_14_r2,21,B3,V3,2,1,12.7296909473684,21.5757473684211,B3_14_r2-21.fcs,/Cells,root,8378,10000,658146
B3_14_r2,22,B3,4,2,1,12.0429160421053,20.4117221052632,B3_14_r2-22.fcs,/Cells,root,7620,10000,632737
B3_14_r2,23,B3,V4,2,1,13.0854895157895,22.1787957894737,B3_14_r2-23.fcs,/Cells,root,8136,10000,621757
B3_14_r2,24,B3,1,3,1,12.7370442105263,21.5882105263158,B3_14_r2-24.fcs,/Cells,root,8015,10000,629267
B3_14_r2,25,B3,V1,3,1,14.1516928,23.98592,B3_14_r2-25.fcs,/Cells,root,8294,10000,586078
B3_14_r2,26,B3,2,3,1,10.493732547368401,17.7859873684211,B3_14_r2-26.fcs,/Cells,root,8263,10000,787422
B3_14_r2,27,B3,V2,3,1,11.5206256842105,19.5264842105263,B3_14_r2-27.fcs,/Cells,root,8019,10000,696056
B3_14_r2,28,B3,3,3,1,11.5636124631579,19.5993431578947,B3_14_r2-28.fcs,/Cells,root,8270,10000,715174
B3_14_r2,29,B3,V3,3,1,12.9751408842105,21.9917642105263,B3_14_r2-29.fcs,/Cells,root,8087,10000,623269
B3_14_r2,30,B3,4,3,1,12.6705468631579,21.4755031578947,B3_14_r2-30.fcs,/Cells,root,8263,10000,652142
B3_14_r2,31,B3,V4,3,1,12.2999622736842,20.8473936842105,B3_14_r2-31.fcs,/Cells,root,8071,10000,656181
B3_14_r2,32,B3,1,4,1,10.7981675789474,18.3019789473684,B3_14_r2-32.fcs,/Cells,root,8345,10000,772816
B3_14_r2,33,B3,V1,4,1,11.9730302315789,20.2932715789474,B3_14_r2-33.fcs,/Cells,root,8233,10000,687629
B3_14_r2,34,B3,2,4,1,8.73463326315789,14.8044631578947,B3_14_r2-34.fcs,/Cells,root,8203,10000,939135
B3_14_r2,35,B3,V2,4,1,8.90543764210526,15.0939621052632,B3_14_r2-35.fcs,/Cells,root,8422,10000,945714
B3_14_r2,36,B3,3,4,1,8.71465027368421,14.7705936842105,B3_14_r2-36.fcs,/Cells,root,8190,10000,939797
B3_14_r2,37,B3,V3,4,1,10.0683065263158,17.0649263157895,B3_14_r2-37.fcs,/Cells,root,8427,10000,836983
B3_14_r2,38,B3,4,4,1,9.95823612631579,16.8783663157895,B3_14_r2-38.fcs,/Cells,root,8307,10000,834184
B3_14_r2,39,B3,V4,4,1,10.2688021894737,17.4047494736842,B3_14_r2-39.fcs,/Cells,root,8355,10000,813629
B3_14_r2,40,B3,1,5,1,10.1107666526316,17.1368926315789,B3_14_r2-40.fcs,/Cells,root,8284,10000,819325
B3_14_r2,41,B3,V1,5,1,11.7461522526316,19.9087326315789,B3_14_r2-41.fcs,/Cells,root,8457,10000,719980
B3_14_r2,42,B3,2,5,1,8.50858997894737,14.4213389473684,B3_14_r2-42.fcs,/Cells,root,8457,10000,993937
B3_14_r2,43,B3,V2,5,1,8.87706795789473,15.0458778947368,B3_14_r2-43.fcs,/Cells,root,8525,10000,960340
B3_14_r2,44,B3,3,5,1,8.27475621052631,14.0250105263158,B3_14_r2-44.fcs,/Cells,root,8503,10000,1027583
B3_14_r2,45,B3,V3,5,1,9.12519090526316,15.4664252631579,B3_14_r2-45.fcs,/Cells,root,8524,10000,934117
B3_14_r2,46,B3,4,5,1,9.57626391578947,16.2309557894737,B3_14_r2-46.fcs,/Cells,root,7874,10000,822241
B3_14_r2,47,B3,V4,5,1,10.1068416,17.13024,B3_14_r2-47.fcs,/Cells,root,8501,10000,841113
B3_14_r2,48,B14,1.2T,0,1,12.7886462315789,21.6756715789474,B3_14_r2-48.fcs,/Cells,root,7538,10000,589429
B3_14_r2,49,B14,1.2T,0,1,13.1039919157895,22.2101557894737,B3_14_r2-49.fcs,/Cells,root,7623,10000,581731
B3_14_r2,50,B14,1,0,1,36.4723243789474,61.8174989473684,B3_14_r2-50.fcs,/Cells,root,6498,10000,178162
B3_14_r2,51,B14,2,0,1,33.9784850526316,57.5906526315789,B3_14_r2-51.fcs,/Cells,root,6101,10000,179555
B3_14_r2,52,B14,3,0,1,31.9583151157895,54.1666357894737,B3_14_r2-52.fcs,/Cells,root,6090,10000,190561
B3_14_r2,53,B14,4,0,1,34.3720734315789,58.2577515789474,B3_14_r2-53.fcs,/Cells,root,6406,10000,186372
