exp,influx_id,trt,ash,amend,phyto,d,k,slope,negative_slope,g,theory_violated,g_corr,ave_g,sd_g,mu,ave_mu,sd_mu,r,ave_r,sd_r,stn,lat,lon,date,cluster,biomass
PB1,4,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,italic(Synechococcus),0,0.5069571469880704,0.26179551303207843,FALSE,NA,NA,NA,0.2104009198454369,0.0665371313478035,NA,0.7173580668335073,0.06653713134780344,NA,0.5069571469880703,1.1102230246251565e-16,4,33.54503,-118.402,8/2/23,2,bold(Low~biomass)
PB1,4,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,italic(Synechococcus),0.4942084942084942,0.6341910134268256,0.26179551303207843,FALSE,0.2574497766221688,FALSE,0.2574497766221688,0.2104009198454369,0.0665371313478035,0.7644069236102391,0.7173580668335073,0.06653713134780344,0.5069571469880703,0.5069571469880703,1.1102230246251565e-16,4,33.54503,-118.402,8/2/23,2,bold(Low~biomass)
PB1,4,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,italic(Synechococcus),0.2625482625482626,0.5498449473304331,0.26179551303207843,FALSE,0.16335206306870506,FALSE,0.16335206306870506,0.2104009198454369,0.0665371313478035,0.6703092100567755,0.7173580668335073,0.06653713134780344,0.5069571469880704,0.5069571469880703,1.1102230246251565e-16,4,33.54503,-118.402,8/2/23,2,bold(Low~biomass)
PB1,4,Control,Control,Control,italic(Synechococcus),0,0.33759646383349384,0.416431331560048,FALSE,NA,NA,NA,0.5609944417853249,0.21793306964357875,NA,0.8985909056188187,0.21793306964357875,NA,0.33759646383349384,3.204937810639273e-17,4,33.54503,-118.402,8/2/23,2,bold(Low~biomass)
PB1,4,Control,Control,Control,italic(Synechococcus),0.2362204724409449,0.5462723727617383,0.416431331560048,FALSE,0.8833946811295683,FALSE,0.8833946811295683,0.5609944417853249,0.21793306964357875,1.2209911449630622,0.8985909056188187,0.21793306964357875,0.33759646383349384,0.33759646383349384,3.204937810639273e-17,4,33.54503,-118.402,8/2/23,2,bold(Low~biomass)
PB1,4,Control,Control,Control,italic(Synechococcus),0.5,0.5584902954136882,0.416431331560048,FALSE,0.44178766316038875,FALSE,0.44178766316038875,0.5609944417853249,0.21793306964357875,0.7793841269938826,0.8985909056188187,0.21793306964357875,0.33759646383349384,0.33759646383349384,3.204937810639273e-17,4,33.54503,-118.402,8/2/23,2,bold(Low~biomass)
PB1,4,Control,Control,Control,italic(Synechococcus),0.5196850393700787,0.5986563371390229,0.416431331560048,FALSE,0.5023424834818514,FALSE,0.5023424834818514,0.5609944417853249,0.21793306964357875,0.8399389473153452,0.8985909056188187,0.21793306964357875,0.33759646383349384,0.33759646383349384,3.204937810639273e-17,4,33.54503,-118.402,8/2/23,2,bold(Low~biomass)
PB1,4,Control,Control,Control,italic(Synechococcus),0.7141732283464567,0.6350160039973746,0.416431331560048,FALSE,0.4164529393694912,FALSE,0.4164529393694912,0.5609944417853249,0.21793306964357875,0.754049403202985,0.8985909056188187,0.21793306964357875,0.3375964638334938,0.33759646383349384,3.204937810639273e-17,4,33.54503,-118.402,8/2/23,2,bold(Low~biomass)
PB1,4,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Picoeukaryotes,0,0.46026103304691696,0.16358299350769848,FALSE,NA,NA,NA,0.196874055335795,0.06156781450034632,NA,0.657135088382712,0.061567814500346284,NA,0.46026103304691696,7.850462293418876e-17,4,33.54503,-118.402,8/2/23,2,bold(Low~biomass)
PB1,4,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Picoeukaryotes,0.5013850415512465,0.53714293208336406,0.16358299350769848,FALSE,0.15333903619976466,FALSE,0.15333903619976466,0.196874055335795,0.06156781450034632,0.6136000692466816,0.657135088382712,0.061567814500346284,0.460261033046917,0.46026103304691696,7.850462293418876e-17,4,33.54503,-118.402,8/2/23,2,bold(Low~biomass)
PB1,4,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Picoeukaryotes,0.26315789473684215,0.5235265789605552,0.16358299350769848,FALSE,0.24040907447182533,FALSE,0.24040907447182533,0.196874055335795,0.06156781450034632,0.7006701075187423,0.657135088382712,0.061567814500346284,0.4602610330469169,0.46026103304691696,7.850462293418876e-17,4,33.54503,-118.402,8/2/23,2,bold(Low~biomass)
PB1,4,Control,Control,Control,Picoeukaryotes,0,0.3107027234421614,0.6425162991065271,FALSE,NA,NA,NA,0.523087488808395,0.18016643456156958,NA,0.8337902122505563,0.18016643456156958,NA,0.3107027234421613,6.409875621278546e-17,4,33.54503,-118.402,8/2/23,2,bold(Low~biomass)
PB1,4,Control,Control,Control,Picoeukaryotes,0.22191780821917806,0.36961897633502855,0.6425162991065271,FALSE,0.26548681859131507,FALSE,0.26548681859131507,0.523087488808395,0.18016643456156958,0.5761895420334764,0.8337902122505563,0.18016643456156958,0.3107027234421613,0.3107027234421613,6.409875621278546e-17,4,33.54503,-118.402,8/2/23,2,bold(Low~biomass)
PB1,4,Control,Control,Control,Picoeukaryotes,0.5342465753424658,0.6231033368270189,0.6425162991065271,FALSE,0.5847498660793486,FALSE,0.5847498660793486,0.523087488808395,0.18016643456156958,0.89545258952151,0.8337902122505563,0.18016643456156958,0.3107027234421613,0.3107027234421613,6.409875621278546e-17,4,33.54503,-118.402,8/2/23,2,bold(Low~biomass)
PB1,4,Control,Control,Control,Picoeukaryotes,0.5287671232876712,0.6725884535389086,0.6425162991065271,FALSE,0.6843952926700143,FALSE,0.6843952926700143,0.523087488808395,0.18016643456156958,0.9950980161121756,0.8337902122505563,0.18016643456156958,0.3107027234421613,0.3107027234421613,6.409875621278546e-17,4,33.54503,-118.402,8/2/23,2,bold(Low~biomass)
PB1,4,Control,Control,Control,Picoeukaryotes,0.7205479452054795,0.7125652664170469,0.6425162991065271,FALSE,0.5577179778929019,FALSE,0.5577179778929019,0.523087488808395,0.18016643456156958,0.8684207013350633,0.8337902122505563,0.18016643456156958,0.31070272344216143,0.3107027234421613,6.409875621278546e-17,4,33.54503,-118.402,8/2/23,2,bold(Low~biomass)
PB1,4,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Nanoeukaryotes,0,0.7590835035643477,0.26368121059832833,FALSE,NA,NA,NA,0.0856359633426271,0.12110754078602845,NA,0.8447194669069749,0.12110754078602849,NA,0.7590835035643477,0,4,33.54503,-118.402,8/2/23,2,bold(Low~biomass)
PB1,4,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Nanoeukaryotes,0.5350966429298067,0.8507305365617472,0.26368121059832833,FALSE,0.1712719266852542,FALSE,0.1712719266852542,0.0856359633426271,0.12110754078602845,0.930355430249602,0.8447194669069749,0.12110754078602849,0.7590835035643477,0.7590835035643477,0,4,33.54503,-118.402,8/2/23,2,bold(Low~biomass)
PB1,4,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Nanoeukaryotes,0.24109867751780267,0.7117400136365613,0.26368121059832833,FALSE,-0.19636561434183164,TRUE,0,0.0856359633426271,0.12110754078602845,0.7590835035643477,0.8447194669069749,0.12110754078602849,0.7590835035643477,0.7590835035643477,0,4,33.54503,-118.402,8/2/23,2,bold(Low~biomass)
PB1,4,Control,Control,Control,Nanoeukaryotes,0,-0.12656272330842924,0.9030799299073843,FALSE,NA,NA,NA,0.9747855489908462,0.21183882754638733,NA,0.848222825682417,0.21183882754638733,NA,-0.12656272330842921,0,4,33.54503,-118.402,8/2/23,2,bold(Low~biomass)
PB1,4,Control,Control,Control,Nanoeukaryotes,0.379020979020979,0.3094038955986167,0.9030799299073843,FALSE,1.150244031433719,FALSE,1.150244031433719,0.9747855489908462,0.21183882754638733,1.0236813081252898,0.848222825682417,0.21183882754638733,-0.12656272330842921,-0.12656272330842921,0,4,33.54503,-118.402,8/2/23,2,bold(Low~biomass)
PB1,4,Control,Control,Control,Nanoeukaryotes,0.6027972027972028,0.44910004400503417,0.9030799299073843,FALSE,0.9549857972833558,FALSE,0.9549857972833558,0.9747855489908462,0.21183882754638733,0.8284230739749265,0.848222825682417,0.21183882754638733,-0.12656272330842921,-0.12656272330842921,0,4,33.54503,-118.402,8/2/23,2,bold(Low~biomass)
PB1,4,Control,Control,Control,Nanoeukaryotes,0.6622377622377622,0.6089550893395973,0.9030799299073843,FALSE,1.11065519755721,FALSE,1.11065519755721,0.9747855489908462,0.21183882754638733,0.9840924742487809,0.848222825682417,0.21183882754638733,-0.12656272330842921,-0.12656272330842921,0,4,33.54503,-118.402,8/2/23,2,bold(Low~biomass)
