Filename                           DATE      TIME       TimeSec  S  Irr    ChiSq      Fo        Fm        Fv    Fv/Fm   Fv/Fo    Sig      p       fmPQ   S   Alp1QA    Tau1QA  Alp2QA    Tau2QA  Alp3QA    Tau3QA  Alp4QA    Tau4QA  Alp1PQ   Tau1PQ  Alp2PQ    Tau2PQ  Alp3PQ    Tau3PQ 
7-28_seablk                     07/28/2023  02:46:17  1138157177 |    0   15.4909     5.354     5.379     0.025  0.0047  0.0047   10.00  0.2000     5.422 |   0.3330       200  0.3330       600  0.3330      4000  0.0000         0  0.9990      1835  0.0010      2386  0.0000         0
8-1_seablk                      08/01/2023  22:16:15  1693606575 |    0    9.2156     6.625     6.748     0.123  0.0182  0.0185   10.00  0.2000     6.600 |   0.3330       200  0.3330       600  0.3330      4000  0.0000         0  0.0017    100000  0.9983    130000  0.0000         0
8-4_seablk                      08/04/2023  14:53:29  1693839209 |    0    8.8456     7.500     7.501     0.001  0.0001  0.0001   10.00  0.2000     7.526 |   0.3330       200  0.3330       600  0.3330      4000  0.0000         0  0.0010    100000  0.9990    130000  0.0000         0
8-5_seablk                      08/05/2023  20:03:18  1693944198 |    0   11.8826     4.547     4.611     0.065  0.0140  0.0142   10.00  0.2000     4.605 |   0.3330       200  0.3330       600  0.3330      4000  0.0000         0  0.0010    100000  0.9990    130000  0.0000         0
8-6_seablk                      08/06/2023  20:14:54  1694031294 |    0    9.4142     4.886     4.900     0.014  0.0029  0.0029   10.00  0.2000     4.781 |   0.3330       200  0.3330       600  0.3330      4000  0.0000         0  0.9990       198  0.0010       257  0.0000         0
8-7_seablk                      08/07/2023  20:01:38  1694116898 |    0   10.0660     8.522     8.587     0.065  0.0076  0.0077   10.00  0.2000     8.946 |   0.3330       200  0.3330       600  0.3330      4000  0.0000         0  0.8798      6589  0.1202      8611  0.0000         0
8-8_seablk                      08/09/2023  01:14:16  1694222056 |    0    9.4290     7.121     7.122     0.001  0.0001  0.0001   10.00  0.2000     7.177 |   0.3330       200  0.3330       600  0.3330      4000  0.0000         0  0.0010    100000  0.9990    130000  0.0000         0
8-14_seablk                     08/14/2023  16:00:30  1694707230 |    0   10.3876     5.988     5.989     0.001  0.0001  0.0001   10.00  0.2000     5.883 |   0.3330       200  0.3330       600  0.3330      4000  0.0000         0  0.0010    100000  0.9990    130000  0.0000         0
8-16_seablk                     08/16/2023  18:24:09  1694888649 |    0   12.2622     6.017     6.030     0.014  0.0023  0.0023   10.00  0.2000     5.951 |   0.3330       200  0.3330       600  0.3330      4000  0.0000         0  0.0010     70148  0.9990    178209  0.0000         0
8-17_seablk                     08/17/2023  20:03:11  1694980991 |    0   13.6522     4.633     4.731     0.098  0.0206  0.0211   10.00  0.2000     4.504 |   0.3330       200  0.3330       600  0.3330      4000  0.0000         0  0.9990     11109  0.0010     14517  0.0000         0
8-18_seablk                     08/18/2023  20:51:26  1695070286 |    0    9.6199     5.497     5.570     0.072  0.0130  0.0132   10.00  0.2000     5.475 |   0.3330       200  0.3330       600  0.3330      4000  0.0000         0  0.9990     13030  0.0010     16939  0.0000         0
8-18_seablk                     09/18/2023  20:51:26  1695070286 |    0    9.6199     5.497     5.570     0.072  0.0130  0.0132   10.00  0.2000     5.475 |   0.3330       200  0.3330       600  0.3330      4000  0.0000         0  0.9990     13030  0.0010     16939  0.0000         0
