Filename                           DATE      TIME       TimeSec  S  Irr    ChiSq      Fo        Fm        Fv    Fv/Fm   Fv/Fo    Sig      p       fmPQ   S   Alp1QA    Tau1QA  Alp2QA    Tau2QA  Alp3QA    Tau3QA  Alp4QA    Tau4QA  Alp1PQ   Tau1PQ  Alp2PQ    Tau2PQ  Alp3PQ    Tau3PQ 
7-29_RR2_01a                    07/29/2023  15:30:56  1693323056 |    0   26.1378    23.427    40.877    17.450  0.4269  0.7449  654.42  0.1307    48.994 |   0.7260       691  0.2300      4013  0.0440    100000  0.0000         0  0.7920      5025  0.2080    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  15:33:48  1693323228 |    0   21.3041    22.343    38.536    16.193  0.4202  0.7248  630.19  0.0007    45.506 |   0.6890       635  0.2650      3300  0.0460    100000  0.0000         0  0.7974      5128  0.2026    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  15:36:34  1693323394 |    0   23.2177    21.501    36.357    14.856  0.4086  0.6909  619.29  0.0000    42.691 |   0.5980       616  0.3490      2506  0.0530    100000  0.0000         0  0.8043      4513  0.1957    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  15:39:20  1693323560 |    0   14.6364    21.609    36.018    14.409  0.4000  0.6668  585.92  0.0000    41.756 |   0.6110       621  0.3420      2523  0.0470    100000  0.0000         0  0.8057      4703  0.1943    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  15:42:06  1693323726 |    0   11.4713    21.241    34.681    13.440  0.3875  0.6327  602.02  0.0848    40.071 |   0.6100       584  0.3400      2664  0.0500    100000  0.0000         0  0.8015      4964  0.1985    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  15:44:57  1693323897 |    0   18.2689    20.538    33.432    12.894  0.3857  0.6278  600.91  0.0726    38.197 |   0.5590       564  0.3790      2326  0.0620    100000  0.0000         0  0.7895      4576  0.2105    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  15:48:46  1693324126 |    0   17.1797    19.941    31.950    12.009  0.3759  0.6022  547.19  0.0000    36.167 |   0.4560       390  0.4830      2127  0.0620    100000  0.0000         0  0.7924      4447  0.2076    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  15:51:42  1693324302 |    0   17.9309    19.964    31.784    11.819  0.3719  0.5920  579.88  0.0719    35.940 |   0.4860       447  0.4520      2124  0.0620    100000  0.0000         0  0.7825      4677  0.2175    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  15:54:28  1693324468 |    0   16.7890    20.137    31.753    11.616  0.3658  0.5769  580.27  0.0150    35.936 |   0.6170       714  0.3190      2782  0.0640    100000  0.0000         0  0.7883      4661  0.2117    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  15:57:14  1693324634 |    0   14.6404    20.792    32.311    11.519  0.3565  0.5540  576.53  0.0747    36.397 |   0.3730       518  0.5600      1993  0.0670    100000  0.0000         0  0.7843      4473  0.2157    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  16:00:05  1693324805 |    0   11.4864    20.896    32.091    11.195  0.3488  0.5357  560.96  0.0000    35.857 |   0.4780       621  0.4500      2293  0.0720    100000  0.0000         0  0.7814      4367  0.2186    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  16:02:51  1693324971 |    0   12.1923    20.080    30.351    10.272  0.3384  0.5116  536.79  0.0000    33.592 |   0.4650       394  0.4590      2252  0.0760    100000  0.0000         0  0.7607      4294  0.2393    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  16:05:37  1693325137 |    0   10.8191    20.123    29.446     9.322  0.3166  0.4633  592.93  0.1220    32.415 |   0.5580       659  0.3550      2601  0.0870    100000  0.0000         0  0.7665      4142  0.2335    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  16:08:23  1693325303 |    0   10.8293    19.948    29.134     9.186  0.3153  0.4605  548.29  0.0000    31.886 |   0.3660       220  0.5510      1821  0.0830    100000  0.0000         0  0.7694      4134  0.2306    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  16:11:09  1693325469 |    0    7.9416    20.478    29.453     8.975  0.3047  0.4383  563.75  0.2064    32.333 |   0.3280       310  0.5800      2019  0.0920    100000  0.0000         0  0.7549      4525  0.2451    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  16:13:55  1693325635 |    0    8.4133    20.458    29.714     9.255  0.3115  0.4524  540.26  0.0000    32.315 |   0.4150       580  0.4940      2202  0.0900    100000  0.0000         0  0.7696      4316  0.2304    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  16:16:41  1693325801 |    0   12.7379    20.530    30.114     9.584  0.3183  0.4668  547.90  0.0000    32.457 |   0.4650       621  0.4370      2515  0.0980    100000  0.0000         0  0.7791      4181  0.2209    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  16:19:26  1693325966 |    0    6.9665    20.784    29.923     9.139  0.3054  0.4397  568.60  0.0000    32.245 |   0.5370      1082  0.3670      2493  0.0960    100000  0.0000         0  0.7935      4372  0.2065    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  16:22:13  1693326133 |    0    7.1938    20.418    28.759     8.340  0.2900  0.4085  535.14  0.0118    30.610 |   0.4200      1110  0.4730      1982  0.1080    100000  0.0000         0  0.7831      4184  0.2169    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  16:24:59  1693326299 |    0    6.9535    20.447    28.642     8.195  0.2861  0.4008  515.22  0.0000    30.505 |   0.2880       235  0.6090      1879  0.1030    100000  0.0000         0  0.7691      3973  0.2309    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  16:27:45  1693326465 |    0    6.3345    20.540    27.996     7.455  0.2663  0.3630  509.34  0.0062    29.781 |   0.4220      1194  0.4520      1942  0.1270    100000  0.0000         0  0.7474      4189  0.2526    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  16:30:31  1693326631 |    0    5.6860    20.795    27.944     7.150  0.2559  0.3438  549.88  0.1263    29.913 |   0.2260       310  0.6530      2111  0.1210    100000  0.0000         0  0.7469      4148  0.2531    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  16:33:17  1693326797 |    0    5.5434    21.305    28.662     7.356  0.2567  0.3453  476.15  0.0028    30.701 |   0.5840       796  0.3050      3546  0.1110    100000  0.0000         0  0.7833      4396  0.2167    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  16:36:03  1693326963 |    0    5.0412    20.637    27.276     6.639  0.2434  0.3217  477.47  0.0000    28.983 |   0.4320       632  0.4550      2628  0.1130    100000  0.0000         0  0.7601      4084  0.2399    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  16:38:50  1693327130 |    0    3.6509    20.448    27.163     6.714  0.2472  0.3284  519.81  0.0153    28.803 |   0.3860      1373  0.4950      2291  0.1190    100000  0.0000         0  0.7645      4187  0.2355    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  16:41:36  1693327296 |    0    4.0412    20.330    26.570     6.240  0.2349  0.3069  560.90  0.2359    28.156 |   0.5010      1098  0.3820      2983  0.1170    100000  0.0000         0  0.7697      4091  0.2303    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  16:44:22  1693327462 |    0    4.4407    19.825    26.705     6.879  0.2576  0.3470  496.76  0.0000    27.816 |   0.4440      1042  0.4200      2660  0.1360    100000  0.0000         0  0.7565      3977  0.2435    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  16:47:09  1693327629 |    0    5.6585    19.449    25.664     6.215  0.2422  0.3196  559.05  0.1076    27.490 |   0.4260      1513  0.4230      1967  0.1510    100000  0.0000         0  0.7433      3860  0.2567    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  16:50:07  1693327807 |    0    5.8556    18.766    24.591     5.825  0.2369  0.3104  585.64  0.1237    26.290 |   0.4220       745  0.4590      2497  0.1190    100000  0.0000         0  0.7583      4058  0.2417    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  16:53:06  1693327986 |    0    4.7170    18.918    24.751     5.833  0.2357  0.3083  475.03  0.0000    25.825 |   0.4440      1177  0.4070      2904  0.1500    100000  0.0000         0  0.7794      3852  0.2206    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  16:56:05  1693328165 |    0    4.3494    18.676    24.394     5.718  0.2344  0.3062  468.37  0.0000    25.726 |   0.3530       738  0.5090      2271  0.1380    100000  0.0000         0  0.7746      4133  0.2254    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  16:59:03  1693328343 |    0    4.7237    17.816    23.379     5.563  0.2379  0.3122  438.57  0.0000    24.683 |   0.3110       166  0.5550      1876  0.1340    100000  0.0000         0  0.7253      3824  0.2747    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  17:02:02  1693328522 |    0    4.7976    17.527    22.670     5.143  0.2269  0.2934  473.09  0.0518    23.772 |   0.1660       261  0.6850      2181  0.1490    100000  0.0000         0  0.7527      3874  0.2473    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  17:05:01  1693328701 |    0    3.9455    17.461    22.204     4.742  0.2136  0.2716  430.57  0.1478    23.412 |   0.3710       308  0.5130      2316  0.1160    100000  0.0000         0  0.7414      3979  0.2586    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  17:07:59  1693328879 |    0    5.2330    17.427    22.228     4.801  0.2160  0.2755  550.60  0.3255    23.417 |   0.3690      1674  0.4540      2501  0.1770    100000  0.0000         0  0.7545      4409  0.2455    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  17:10:58  1693329058 |    0    4.1899    17.326    22.446     5.120  0.2281  0.2955  537.49  0.1628    23.607 |   0.3910      1505  0.4370      1957  0.1720    100000  0.0000         0  0.7582      3774  0.2418    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  17:13:57  1693329237 |    0    4.0284    17.272    21.914     4.642  0.2118  0.2688  442.89  0.0000    23.112 |   0.3330       498  0.5410      2277  0.1260    100000  0.0000         0  0.7491      4065  0.2509    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  17:16:56  1693329416 |    0    4.5536    16.821    21.451     4.631  0.2159  0.2753  484.78  0.2698    22.356 |   0.3160       196  0.5430      2091  0.1410    100000  0.0000         0  0.7073      4682  0.2927    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  17:19:55  1693329595 |    0    3.9066    17.077    21.695     4.618  0.2129  0.2704  475.53  0.0000    22.984 |   0.6950      1153  0.1590      4802  0.1460    100000  0.0000         0  0.7627      3654  0.2373    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  17:22:54  1693329774 |    0    2.5953    16.697    20.845     4.148  0.1990  0.2484  468.78  0.1648    22.078 |   0.5810      1106  0.2700      3114  0.1490    100000  0.0000         0  0.7438      4106  0.2562    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  17:25:53  1693329953 |    0    4.5499    16.016    20.156     4.140  0.2054  0.2585  491.56  0.0991    21.237 |   0.3820      1174  0.4450      2246  0.1730    100000  0.0000         0  0.7158      4015  0.2842    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  17:28:52  1693330132 |    0    3.9222    16.063    20.161     4.098  0.2032  0.2551  400.14  0.0000    21.295 |   0.3200       230  0.5510      1881  0.1290    100000  0.0000         0  0.7218      3781  0.2782    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  17:31:51  1693330311 |    0    3.8694    16.094    20.172     4.079  0.2022  0.2534  489.07  0.0000    21.220 |   0.4160      1024  0.4360      2809  0.1480    100000  0.0000         0  0.7712      4293  0.2288    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  17:34:50  1693330490 |    0    3.3037    16.390    20.508     4.117  0.2008  0.2512  444.64  0.0301    21.662 |   0.4120       741  0.4450      2274  0.1430    100000  0.0000         0  0.7646      4283  0.2354    100000  0.0000         0
