wavelength	Abs.
250	1.263241429
251	1.238836429
252	1.216339714
253	1.195195714
254	1.174964143
255	1.156125714
256	1.139244714
257	1.124253286
258	1.110835143
259	1.098368571
260	1.086122429
261	1.074058286
262	1.062653
263	1.051646
264	1.039927571
265	1.026814
266	1.012422143
267	0.997067571
268	0.981379714
269	0.9657
270	0.949032714
271	0.930299
272	0.909974143
273	0.889037429
274	0.867522
275	0.844941143
276	0.821362714
277	0.797336
278	0.773277429
279	0.749412286
280	0.725712571
281	0.701694143
282	0.677136429
283	0.652721571
284	0.629106857
285	0.606115857
286	0.583409857
287	0.561137571
288	0.539634571
289	0.518973571
290	0.499063571
291	0.479953143
292	0.461822857
293	0.444656571
294	0.428156286
295	0.412161
296	0.39684
297	0.382332714
298	0.368551143
299	0.35538
300	0.342804
301	0.330830143
302	0.319411
303	0.308478857
304	0.298032
305	0.288111857
306	0.27869
307	0.269665143
308	0.260974571
309	0.252622143
310	0.244598857
311	0.236853571
312	0.229330714
313	0.221977714
314	0.214756571
315	0.207701857
316	0.200865143
317	0.194221143
318	0.187707286
319	0.181270571
320	0.174868857
321	0.168549429
322	0.162456714
323	0.156625286
324	0.150901571
325	0.145194429
326	0.139607857
327	0.134246714
328	0.129108429
329	0.124157143
330	0.119309571
331	0.114475857
332	0.109652571
333	0.104886857
334	0.100282857
335	0.095984571
336	0.091958286
337	0.087958857
338	0.083909
339	0.080042571
340	0.076490143
341	0.073027
342	0.069457429
343	0.065925714
344	0.062630143
345	0.059571429
346	0.056668
347	0.053792429
348	0.050802429
349	0.047763429
350	0.044913286
351	0.042325286
352	0.039861571
353	0.037442857
354	0.035121714
355	0.032911571
356	0.030680571
357	0.028323857
358	0.025955286
359	0.023724429
360	0.021622429
361	0.019579857
362	0.017567286
363	0.015579429
364	0.013610571
365	0.011655
366	0.009689143
367	0.007667571
368	0.005609
369	0.003653857
370	0.001867429
371	5.92857E-05
372	-0.001935571
373	-0.003968
374	-0.005840429
375	-0.007612
376	-0.009434
377	-0.011275
378	-0.012995714
379	-0.014584857
380	-0.016147571
381	-0.017754
382	-0.019421143
383	-0.021124
384	-0.022761286
385	-0.024258
386	-0.025642286
387	-0.026955143
388	-0.028208714
389	-0.029412286
390	-0.030604286
391	-0.031829
392	-0.033063286
393	-0.034239857
394	-0.035307
395	-0.036231857
396	-0.037050429
397	-0.037891286
398	-0.038807429
399	-0.039686714
400	-0.040457143
401	-0.041221857
402	-0.042080429
403	-0.042975143
404	-0.043810857
405	-0.044549571
406	-0.045182143
407	-0.045759286
408	-0.046366714
409	-0.047039714
410	-0.047767286
411	-0.048522286
412	-0.049261
413	-0.049964
414	-0.050664143
415	-0.051380286
416	-0.052072714
417	-0.052705714
418	-0.053305
419	-0.053909429
420	-0.054518571
421	-0.055114143
422	-0.055663429
423	-0.056127143
424	-0.056554571
425	-0.057070429
426	-0.057664
427	-0.058136714
428	-0.058434286
429	-0.058804429
430	-0.059405857
431	-0.060038429
432	-0.060508
433	-0.060931143
434	-0.061476286
435	-0.062067571
436	-0.062545429
437	-0.062940571
438	-0.063394286
439	-0.063907143
440	-0.064355286
441	-0.064723
442	-0.065139571
443	-0.065652286
444	-0.066137714
445	-0.066504857
446	-0.066808429
447	-0.067120143
448	-0.067477429
449	-0.067895714
450	-0.068305714
451	-0.068615
452	-0.068855857
453	-0.069128714
454	-0.069442286
455	-0.069726
456	-0.069952143
457	-0.070146714
458	-0.070343429
459	-0.070581429
460	-0.070877857
461	-0.071190286
462	-0.071472857
463	-0.071703714
464	-0.071877714
465	-0.072057571
466	-0.072318286
467	-0.072613714
468	-0.072835429
469	-0.073006857
470	-0.073258857
471	-0.073598571
472	-0.073882714
473	-0.074047857
474	-0.074184857
475	-0.074367143
476	-0.074584143
477	-0.074808429
478	-0.074996857
479	-0.075118143
480	-0.075230286
481	-0.075408857
482	-0.075587
483	-0.075632714
484	-0.075582143
485	-0.075598857
486	-0.075730571
487	-0.07589
488	-0.076024714
489	-0.076148429
490	-0.076278571
491	-0.076425286
492	-0.076585286
493	-0.076710571
494	-0.076760857
495	-0.076785571
496	-0.076853
497	-0.076934429
498	-0.076958857
499	-0.076960857
500	-0.077046857
501	-0.077198857
502	-0.077266429
503	-0.077211429
504	-0.077174571
505	-0.077229714
506	-0.077271286
507	-0.077224714
508	-0.077189571
509	-0.077263
510	-0.077346857
511	-0.077309429
512	-0.077216857
513	-0.077212143
514	-0.077264
515	-0.077229857
516	-0.077102857
517	-0.077007
518	-0.076991857
519	-0.076995571
520	-0.076977429
521	-0.076956571
522	-0.076947143
523	-0.076929
524	-0.076885857
525	-0.076849
526	-0.076853571
527	-0.076865714
528	-0.076830857
529	-0.076761714
530	-0.076712429
531	-0.076688
532	-0.076652286
533	-0.076602714
534	-0.076579286
535	-0.076571429
536	-0.076469286
537	-0.076295857
538	-0.076455571
539	-0.077021857
540	-0.076502143
541	-0.074004714
542	-0.074625
543	-0.083165286
544	-0.080722857
545	-0.038881143
546	0.017128143
547	0.021787
548	-0.030277286
549	-0.075876286
550	-0.082672857
551	-0.074130286
552	-0.070229
553	-0.070805143
554	-0.073061571
555	-0.075112857
556	-0.075624
557	-0.075121
558	-0.074665143
559	-0.074723429
560	-0.075382714
561	-0.075521429
562	-0.073379286
563	-0.071867429
564	-0.078400286
565	-0.091863857
566	-0.098737857
567	-0.092908
568	-0.085479571
569	-0.084968286
570	-0.085594
571	-0.081055
572	-0.074952143
573	-0.072777714
574	-0.073667429
575	-0.074316429
576	-0.074009143
577	-0.073595571
578	-0.073489
579	-0.073689571
580	-0.073825571
581	-0.073092857
582	-0.072080286
583	-0.073905
584	-0.077917286
585	-0.072976429
586	-0.056726857
587	-0.067384571
588	-0.136675857
589	-0.201270143
590	-0.176746857
591	-0.097453857
592	-0.055061857
593	-0.063163143
594	-0.076806857
595	-0.076153429
596	-0.069922571
597	-0.064332714
598	-0.059595714
599	-0.056375571
600	-0.057467714
601	-0.063982
602	-0.070604857
603	-0.072173
604	-0.070631286
605	-0.069643571
606	-0.069602857
607	-0.069505143
608	-0.069133286
609	-0.068774143
610	-0.068516857
611	-0.068263143
612	-0.067988429
613	-0.067773286
614	-0.067636286
615	-0.067467714
616	-0.067207714
617	-0.066976
618	-0.066877571
619	-0.066842857
620	-0.066772857
621	-0.066649857
622	-0.066491714
623	-0.066352286
624	-0.066299143
625	-0.066289714
626	-0.066199286
627	-0.066011571
628	-0.065828
629	-0.065703143
630	-0.065608571
631	-0.065519857
632	-0.065438857
633	-0.065362857
634	-0.065261143
635	-0.065111857
636	-0.06496
637	-0.064857714
638	-0.064767
639	-0.064616857
640	-0.064441286
641	-0.064338571
642	-0.064298143
643	-0.064212857
644	-0.064066143
645	-0.063962286
646	-0.063959429
647	-0.064016143
648	-0.064085
649	-0.064133429
650	-0.064146286
651	-0.064169
652	-0.064235571
653	-0.064219571
654	-0.063964571
655	-0.063560429
656	-0.063218429
657	-0.063010143
658	-0.062904
659	-0.06287
660	-0.062884571
661	-0.062889286
662	-0.062774286
663	-0.062509857
664	-0.062248286
665	-0.062094857
666	-0.061932714
667	-0.061650286
668	-0.061358714
669	-0.061202143
670	-0.061111857
671	-0.060942
672	-0.060713143
673	-0.060541714
674	-0.060437143
675	-0.060320857
676	-0.060176857
677	-0.060069143
678	-0.060024429
679	-0.059996571
680	-0.059947714
681	-0.059877
682	-0.059798
683	-0.059752143
684	-0.059774714
685	-0.059836857
686	-0.059892714
687	-0.059927857
688	-0.059942
689	-0.059931
690	-0.059889429
691	-0.059848857
692	-0.059877143
693	-0.059966143
694	-0.060003857
695	-0.059947571
696	-0.059904857
697	-0.059955286
698	-0.060048
699	-0.060120857
700	-0.060160714
701	-0.060170571
702	-0.060178
703	-0.060215
704	-0.060269857
705	-0.060308857
706	-0.060321714
707	-0.060315429
708	-0.060291714
709	-0.060246143
710	-0.060185
711	-0.060132571
712	-0.060098286
713	-0.060058286
714	-0.059989571
715	-0.059892
716	-0.059769429
717	-0.059630286
718	-0.059485571
719	-0.059372
720	-0.059325143
721	-0.059271286
722	-0.059084571
723	-0.058880714
724	-0.058967857
725	-0.059328571
726	-0.059557429
727	-0.059543143
728	-0.059697714
729	-0.060281571
730	-0.061081143
731	-0.061873286
732	-0.062638714
