wavelength	Abs.
250	1.178824
251	1.154180143
252	1.130972571
253	1.108864571
254	1.087684857
255	1.068195857
256	1.051116714
257	1.035826571
258	1.021330714
259	1.007342714
260	0.993945857
261	0.981265857
262	0.969440286
263	0.958051143
264	0.946052
265	0.932911714
266	0.919029143
267	0.904775286
268	0.890220857
269	0.875288429
270	0.859508571
271	0.842410857
272	0.824140571
273	0.805061
274	0.785370429
275	0.765164857
276	0.744465429
277	0.723232857
278	0.701598429
279	0.679911143
280	0.658277714
281	0.636321714
282	0.613911286
283	0.591772429
284	0.570577143
285	0.550069143
286	0.529802
287	0.509816857
288	0.490356286
289	0.471569
290	0.453541857
291	0.436372429
292	0.420161571
293	0.404794857
294	0.389854714
295	0.375159429
296	0.361064
297	0.347853
298	0.335371857
299	0.323416
300	0.311977286
301	0.301092714
302	0.290680571
303	0.280615
304	0.270939714
305	0.261811429
306	0.253237857
307	0.245072
308	0.237197286
309	0.229556714
310	0.222131714
311	0.214980286
312	0.208132429
313	0.201479286
314	0.194911
315	0.188465857
316	0.182223571
317	0.176176857
318	0.170272143
319	0.164436286
320	0.158586286
321	0.152761143
322	0.147137429
323	0.141781571
324	0.136570429
325	0.131412429
326	0.126340143
327	0.121395
328	0.116582571
329	0.111897714
330	0.107322286
331	0.102832857
332	0.098404571
333	0.094016143
334	0.089739143
335	0.085714286
336	0.081934714
337	0.078218714
338	0.074497143
339	0.070917714
340	0.067563286
341	0.064285857
342	0.060960143
343	0.057701429
344	0.054661857
345	0.051853857
346	0.049225857
347	0.046610571
348	0.043794714
349	0.040841
350	0.038047
351	0.035541429
352	0.033234429
353	0.031049857
354	0.028963
355	0.026926429
356	0.024817429
357	0.022558857
358	0.020324571
359	0.018311286
360	0.016434571
361	0.014511857
362	0.012539571
363	0.010618143
364	0.00878
365	0.006994714
366	0.005211429
367	0.003356143
368	0.001431714
369	-0.000408571
370	-0.002089143
371	-0.003800857
372	-0.005705429
373	-0.007623714
374	-0.009330857
375	-0.010932
376	-0.012645286
377	-0.01442
378	-0.016049857
379	-0.017536286
380	-0.019070143
381	-0.020702714
382	-0.022294286
383	-0.023769571
384	-0.025212
385	-0.026679571
386	-0.028110857
387	-0.029434429
388	-0.030640571
389	-0.031745
390	-0.032830571
391	-0.033997571
392	-0.035219143
393	-0.036389714
394	-0.037434857
395	-0.038310571
396	-0.039078571
397	-0.039941
398	-0.040963571
399	-0.041921714
400	-0.042667571
401	-0.043378857
402	-0.044234857
403	-0.045141571
404	-0.045949429
405	-0.046632571
406	-0.047224143
407	-0.047795714
408	-0.048441143
409	-0.049172143
410	-0.049926286
411	-0.050652857
412	-0.051323571
413	-0.051941429
414	-0.052571714
415	-0.053251429
416	-0.053919571
417	-0.054519143
418	-0.055100429
419	-0.055727429
420	-0.056355143
421	-0.056898429
422	-0.057363
423	-0.057808571
424	-0.058285429
425	-0.058830429
426	-0.059395286
427	-0.059821571
428	-0.060084714
429	-0.060434143
430	-0.061029143
431	-0.061674857
432	-0.062173429
433	-0.062599714
434	-0.063080857
435	-0.063581571
436	-0.06401
437	-0.064402143
438	-0.064866
439	-0.065382286
440	-0.065819143
441	-0.066154714
442	-0.066514429
443	-0.06696
444	-0.067415286
445	-0.067815
446	-0.068169857
447	-0.068505286
448	-0.068857857
449	-0.069253714
450	-0.069635429
451	-0.069922714
452	-0.070148286
453	-0.070407571
454	-0.070705286
455	-0.070969
456	-0.071181286
457	-0.071395286
458	-0.071641571
459	-0.071902143
460	-0.072159857
461	-0.072415286
462	-0.072667571
463	-0.072895286
464	-0.073080143
465	-0.073257857
466	-0.073478571
467	-0.073723286
468	-0.073939286
469	-0.074146143
470	-0.074421286
471	-0.074747857
472	-0.074995857
473	-0.075124286
474	-0.075257714
475	-0.075480857
476	-0.075732286
477	-0.075943857
478	-0.076105143
479	-0.076225857
480	-0.076346429
481	-0.076509571
482	-0.076659143
483	-0.076695286
484	-0.076656
485	-0.076682429
486	-0.076820571
487	-0.077004143
488	-0.077181857
489	-0.077335
490	-0.077459571
491	-0.077581
492	-0.077713429
493	-0.077819286
494	-0.077864286
495	-0.077893286
496	-0.077967
497	-0.078050429
498	-0.078067429
499	-0.078056714
500	-0.078134286
501	-0.078283429
502	-0.078350143
503	-0.078295
504	-0.078265429
505	-0.078333857
506	-0.078376429
507	-0.078307857
508	-0.078254714
509	-0.078337429
510	-0.078433143
511	-0.078376429
512	-0.078258571
513	-0.078269143
514	-0.078361
515	-0.078335714
516	-0.078182714
517	-0.078075143
518	-0.078078286
519	-0.078099429
520	-0.078080714
521	-0.078057143
522	-0.078054
523	-0.078035571
524	-0.077973143
525	-0.077922857
526	-0.077947857
527	-0.077993143
528	-0.077965429
529	-0.077884857
530	-0.077836571
531	-0.077827571
532	-0.077795429
533	-0.07773
534	-0.077686286
535	-0.077672286
536	-0.077599714
537	-0.077480571
538	-0.077613571
539	-0.078040857
540	-0.077590429
541	-0.075575286
542	-0.076067429
543	-0.082436143
544	-0.074795143
545	-0.024243143
546	0.040562143
547	0.047770857
548	-0.009359571
549	-0.063338
550	-0.078343143
551	-0.076166143
552	-0.075697571
553	-0.076663857
554	-0.076785429
555	-0.076390143
556	-0.07622
557	-0.076189143
558	-0.076011286
559	-0.075972143
560	-0.076521857
561	-0.07665
562	-0.074529143
563	-0.073032
564	-0.079567
565	-0.093025143
566	-0.099903857
567	-0.094091714
568	-0.086666857
569	-0.086129429
570	-0.086733429
571	-0.082207571
572	-0.076132143
573	-0.073967857
574	-0.074850143
575	-0.075486714
576	-0.075174143
577	-0.074771429
578	-0.074681714
579	-0.074880286
580	-0.074987286
581	-0.074214286
582	-0.073166143
583	-0.074976143
584	-0.078997429
585	-0.074058429
586	-0.057779714
587	-0.068405
588	-0.137692571
