Current Date: 29-Aug-2023
Instrument Serial Number: 8470H50282
Software Name: InCyte
Version Number: 3.4


,,,,,,,,,,,,Gains,,,,,High Calibration,,,,
 Sample Number, Sample ID, Number of Events,  Termination Count, Count Gate, Dilution Factor, Original Volume, Cells/µL,  Total Volume (µL), Acquisition Time (s), Date of Acquisition, Time of Acquisition, FSC Gain, SSC, GRN-B, YEL-B, RED-B,  SSC,  GRN-B,  YEL-B,  RED-B, YEL-B - %GRN-B, RED-B - %GRN-B, GRN-B - %YEL-B, RED-B - %YEL-B, GRN-B - %RED-B, YEL-B - %RED-B, Threshold Parameter, Threshold Value, Flow Rate (µL/s), High Concentration Warning Trigger, # of Errors & Warnings, User Login Name, User Full Name, WorkList,
 1, B15-1.2T-0-0, 10000, 10000, All Events, 1, 0.15, 509.299233590216, 19.6348224, 33.27936, 29-AUG-2023 , 15:55:37 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B15_map.csv,
 2, B15-1.2T-0-4, 93, 10000, All Events, 1, 0.2, 0.751814500851457, 123.700726568421, 209.662248421053, 29-AUG-2023 , 15:59:43 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 3, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B15_map.csv,
 3, B15-1-0-0, 10000, 10000, All Events, 1, 0.2, 195.575556844043, 51.1311339789474, 86.6629389473684, 29-AUG-2023 , 16:01:48 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B15_map.csv,
 4, B15-2-0-0, 10000, 10000, All Events, 1, 0.2, 253.952326892995, 39.3774694736842, 66.7414736842105, 29-AUG-2023 , 16:03:32 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B15_map.csv,
 5, B15-1-1-0, 10000, 10000, All Events, 1, 0.2, 316.15582798139, 31.6299720421053, 53.6101221052632, 29-AUG-2023 , 16:05:03 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B15_map.csv,
 6, B15-V1-1-0, 10000, 10000, All Events, 1, 0.2, 306.796003491052, 32.5949487157895, 55.2456757894737, 29-AUG-2023 , 16:06:36 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B15_map.csv,
 7, B15-2-1-0, 10000, 10000, All Events, 1, 0.2, 345.862555612587, 28.9132195368421, 49.0054568421053, 29-AUG-2023 , 16:08:02 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B15_map.csv,
 8, B15-V2-1-0, 10000, 10000, All Events, 1, 0.2, 334.725622799655, 29.8752151578947, 50.6359578947368, 29-AUG-2023 , 16:09:29 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 1, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B15_map.csv,
 9, B15-1-2-0, 10000, 10000, All Events, 1, 0.2, 565.302443424246, 17.6896458105263, 29.9824505263158, 29-AUG-2023 , 16:10:36 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B15_map.csv,
 10, B15-V1-2-0, 10000, 10000, All Events, 1, 0.2, 564.311843162993, 17.7206984421053, 30.0350821052632, 29-AUG-2023 , 16:11:43 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B15_map.csv,
 11, B15-2-2-0, 10000, 10000, All Events, 1, 0.2, 588.571786621331, 16.9902809263158, 28.7970863157895, 29-AUG-2023 , 16:12:49 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B15_map.csv,
 12, B15-V2-2-0, 10000, 10000, All Events, 1, 0.2, 559.070167491396, 17.8868424421053, 30.3166821052632, 29-AUG-2023 , 16:13:41 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B15_map.csv,
 13, B15-1-3-0, 10000, 10000, All Events, 1, 0.2, 769.595319367281, 12.9938420210526, 22.0234610526316, 29-AUG-2023 , 16:14:38 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B15_map.csv,
 14, B15-V1-3-0, 10000, 10000, All Events, 1, 0.2, 770.224979376132, 12.9832195368421, 22.0054568421053, 29-AUG-2023 , 16:15:38 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B15_map.csv,
 15, B15-2-3-0, 10000, 10000, All Events, 1, 0.2, 938.099791382406, 10.6598467368421, 18.0675368421053, 29-AUG-2023 , 16:16:21 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B15_map.csv,
 16, B15-V2-3-0, 10000, 10000, All Events, 1, 0.2, 917.258905660922, 10.9020473263158, 18.4780463157895, 29-AUG-2023 , 16:17:04 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B15_map.csv,
 17, B15-1-4-0, 10000, 10000, All Events, 1, 0.2, 894.070510820015, 11.1848001684211, 18.9572884210526, 29-AUG-2023 , 16:17:49 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B15_map.csv,
 18, B15-V1-4-0, 10000, 10000, All Events, 1, 0.2, 834.045473549879, 11.9897539368421, 20.3216168421053, 29-AUG-2023 , 16:18:34 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B15_map.csv,
 19, B15-2-4-0, 10000, 10000, All Events, 1, 0.2, 1016.45543338955, 9.83810964210526, 16.6747621052632, 29-AUG-2023 , 16:19:16 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B15_map.csv,
 20, B15-V2-4-0, 10000, 10000, All Events, 1, 0.2, 982.30133706143, 10.1801754947368, 17.2545347368421, 29-AUG-2023 , 16:19:59 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B15_map.csv,
 21, B15-1-5-0, 10000, 10000, All Events, 1, 0.2, 993.840498801977, 10.0619767578947, 17.0541978947368, 29-AUG-2023 , 16:20:42 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B15_map.csv,
 22, B15-V1-5-0, 10000, 10000, All Events, 1, 0.2, 828.183103800962, 12.0746245052632, 20.4654652631579, 29-AUG-2023 , 16:21:27 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B15_map.csv,
 23, B15-2-5-0, 10000, 10000, All Events, 1, 0.2, 1095.55134010977, 9.12782416842105, 15.4708884210526, 29-AUG-2023 , 16:22:08 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B15_map.csv,
 24, B15-V2-5-0, 10000, 10000, All Events, 1, 0.2, 991.232694976139, 10.0884485052632, 17.0990652631579, 29-AUG-2023 , 16:22:46 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/B15_map.csv,
