Current Date: 31-Aug-2023
Instrument Serial Number: 8470H50282
Software Name: InCyte
Version Number: 3.4


,,,,,,,,,,,,Gains,,,,,High Calibration,,,,
 Sample Number, Sample ID, Number of Events,  Termination Count, Count Gate, Dilution Factor, Original Volume, Cells/µL,  Total Volume (µL), Acquisition Time (s), Date of Acquisition, Time of Acquisition, FSC Gain, SSC, GRN-B, YEL-B, RED-B,  SSC,  GRN-B,  YEL-B,  RED-B, YEL-B - %GRN-B, RED-B - %GRN-B, GRN-B - %YEL-B, RED-B - %YEL-B, GRN-B - %RED-B, YEL-B - %RED-B, Threshold Parameter, Threshold Value, Flow Rate (µL/s), High Concentration Warning Trigger, # of Errors & Warnings, User Login Name, User Full Name, WorkList,
 1, TE, 72, 10000, All Events, 1, 0.2, 4.10137434607903, 17.5550910315789, 29.7543915789474, 31-AUG-2023 , 08:14:37 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 3, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 2, TE+SYBR, 304, 10000, All Events, 1, 0.2, 17.43301778219, 17.4381741473684, 29.556227368421, 31-AUG-2023 , 08:15:43 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 3, B1-1.2GF75-0-0, 4791, 10000, All Events, 1, 0.2, 274.794992894894, 17.4348154947368, 29.5505347368421, 31-AUG-2023 , 08:16:38 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 4, B1-1.2DNA-0-0, 5290, 10000, All Events, 1, 0.2, 303.457049369754, 17.4324505263158, 29.5465263157895, 31-AUG-2023 , 08:17:33 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 5, B1-1GF75-2-0, 3466, 10000, All Events, 1, 0.2, 198.787206659825, 17.4357296842105, 29.5520842105263, 31-AUG-2023 , 08:18:28 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 6, B1-1DNA-2-0, 1530, 10000, All Events, 1, 0.2, 87.1609639389757, 17.5537296842105, 29.7520842105263, 31-AUG-2023 , 08:19:23 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 7, B1-2GF75-2-0, 3308, 10000, All Events, 1, 0.2, 189.735411101392, 17.4348055578947, 29.5505178947368, 31-AUG-2023 , 08:20:18 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 8, B1-2DNA-2-0, 4711, 10000, All Events, 1, 0.2, 270.239741431437, 17.4326691368421, 29.5468968421053, 31-AUG-2023 , 08:21:13 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 9, B1-1GF75-5-0, 8064, 10000, All Events, 1, 0.2, 459.557345879722, 17.5473204210526, 29.7412210526316, 31-AUG-2023 , 08:22:08 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 10, B1-1DNA-5-0, 6651, 10000, All Events, 1, 0.2, 379.018708653072, 17.5479464421053, 29.7422821052632, 31-AUG-2023 , 08:23:03 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 11, B1-2GF75-5-0, 8624, 10000, All Events, 1, 0.2, 494.736072918677, 17.4315164631579, 29.5449431578947, 31-AUG-2023 , 08:23:57 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
