Current Date: 31-Aug-2023
Instrument Serial Number: 8470H50282
Software Name: InCyte
Version Number: 3.4


,,,,,,,,,,,,Gains,,,,,High Calibration,,,,
 Sample Number, Sample ID, Number of Events,  Termination Count, Count Gate, Dilution Factor, Original Volume, Cells/µL,  Total Volume (µL), Acquisition Time (s), Date of Acquisition, Time of Acquisition, FSC Gain, SSC, GRN-B, YEL-B, RED-B,  SSC,  GRN-B,  YEL-B,  RED-B, YEL-B - %GRN-B, RED-B - %GRN-B, GRN-B - %YEL-B, RED-B - %YEL-B, GRN-B - %RED-B, YEL-B - %RED-B, Threshold Parameter, Threshold Value, Flow Rate (µL/s), High Concentration Warning Trigger, # of Errors & Warnings, User Login Name, User Full Name, WorkList,
 1, TE, 43, 10000, All Events, 1, 0.2, 2.46573084416744, 17.4390485894737, 29.5577094736842, 31-AUG-2023 , 09:33:09 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 3, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 2, TE+SYBR, 163, 10000, All Events, 1, 0.2, 9.28509260124487, 17.5550214736842, 29.7542736842105, 31-AUG-2023 , 09:34:14 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 3, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 3, B1-1.2GF75-0-0, 7229, 10000, All Events, 1, 0.2, 411.947938116096, 17.5483339789474, 29.7429389473684, 31-AUG-2023 , 09:35:09 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 4, B1-1.2DNA-0-0, 4221, 10000, All Events, 1, 0.2, 242.114206934533, 17.4339211789474, 29.5490189473684, 31-AUG-2023 , 09:36:04 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 5, B1-1GF75-2-0, 4433, 10000, All Events, 1, 0.2, 254.26368444149, 17.4346565052632, 29.5502652631579, 31-AUG-2023 , 09:36:59 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 6, B1-1DNA-2-0, 3697, 10000, All Events, 1, 0.2, 212.057738179986, 17.4339311157895, 29.5490357894737, 31-AUG-2023 , 09:37:54 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 7, B1-2GF75-2-0, 4223, 10000, All Events, 1, 0.2, 242.224645922433, 17.4342292210526, 29.5495410526316, 31-AUG-2023 , 09:38:49 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 8, B1-2DNA-2-0, 3351, 10000, All Events, 1, 0.2, 190.924891910165, 17.5514044631579, 29.7481431578947, 31-AUG-2023 , 09:39:44 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 9, B1-1GF75-5-0, 7157, 10000, All Events, 1, 0.2, 410.574417786074, 17.4316754526316, 29.5452126315789, 31-AUG-2023 , 09:40:39 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 10, B1-1DNA-5-0, 3569, 10000, All Events, 1, 0.2, 203.346010854032, 17.5513647157895, 29.7480757894737, 31-AUG-2023 , 09:41:34 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 11, B1-2GF75-5-0, 6606, 10000, All Events, 1, 0.2, 376.448550411846, 17.5482147368421, 29.7427368421053, 31-AUG-2023 , 09:42:28 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 12, B1-2DNA-5-0, 3584, 10000, All Events, 1, 0.2, 205.56804028268, 17.4346167578947, 29.5501978947368, 31-AUG-2023 , 09:43:19 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 13, B2-1.2GF75-0-0, 4984, 10000, All Events, 1, 0.2, 285.881253974249, 17.4338118736842, 29.5488336842105, 31-AUG-2023 , 09:44:22 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 14, B2-1.2DNA-0-0, 7920, 10000, All Events, 1, 0.2, 454.316045911378, 17.4327983157895, 29.5471157894737, 31-AUG-2023 , 09:45:29 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 15, B2-1GF75-2-0, 6706, 10000, All Events, 1, 0.2, 382.138263829769, 17.5486221473684, 29.743427368421, 31-AUG-2023 , 09:46:24 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 16, B2-1DNA-2-0, 3807, 10000, All Events, 1, 0.2, 218.368144507609, 17.4338615578947, 29.5489178947368, 31-AUG-2023 , 09:47:19 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 17, B2-2GF75-2-0, 6318, 10000, All Events, 1, 0.2, 362.406872887756, 17.4334442105263, 29.5482105263158, 31-AUG-2023 , 09:48:14 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 18, B2-2DNA-2-0, 3634, 10000, All Events, 1, 0.2, 208.436373179913, 17.4345770105263, 29.5501305263158, 31-AUG-2023 , 09:49:09 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 19, B2-1GF75-5-0, 10000, 10000, All Events, 1, 0.2, 2024.54736832199, 4.93937566315789, 8.37182315789474, 31-AUG-2023 , 09:49:42 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 20, B2-1DNA-5-0, 4734, 10000, All Events, 1, 0.2, 271.55337617368, 17.4330368, 29.54752, 31-AUG-2023 , 09:50:38 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 21, B2-2GF75-5-0, 10000, 10000, All Events, 1, 0.2, 1960.48837507162, 5.10076985263158, 8.64537263157895, 31-AUG-2023 , 09:51:11 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 22, B2-2DNA-5-0, 6191, 10000, All Events, 1, 0.2, 352.794426742423, 17.5484631578947, 29.7431578947368, 31-AUG-2023 , 09:52:02 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 23, B3-1.2DNA-0-0, 4726, 10000, All Events, 1, 0.2, 269.279769335827, 17.5505200842105, 29.7466442105263, 31-AUG-2023 , 09:53:06 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 24, B3-1GF75-2-0, 8241, 10000, All Events, 1, 0.2, 472.708595988467, 17.4335733894737, 29.5484294736842, 31-AUG-2023 , 09:54:12 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
 25, B3-1DNA-2-0, 3262, 10000, All Events, 1, 0.2, 187.097863664923, 17.4347260631579, 29.5503831578947, 31-AUG-2023 , 09:55:07 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_r2_map.csv,
